GeneSymbol	GeneID	MediaTumor	MedianNormal	Log2FoldChange	adjp
MLLT4	ENSG00000130396.20	4.740	17.425	-1.683	1.07e-28
GDF15	ENSG00000130513.6	10.180	4.510	1.021	3.86e-7
TNNI2	ENSG00000130598.15	4.100	1.445	1.061	2.76e-15
H19	ENSG00000130600.15	57.879	775.669	-3.721	7.79e-23
PNPLA7	ENSG00000130653.15	2.050	7.699	-1.512	1.40e-24
GATA5	ENSG00000130700.6	0.040	2.850	-1.888	3.76e-26
THEMIS2	ENSG00000130775.15	3.640	10.684	-1.332	1.04e-9
PLXNA3	ENSG00000130827.6	8.660	23.411	-1.337	1.44e-18
UBE4B	ENSG00000130939.18	10.940	26.250	-1.190	1.29e-19
TXLNGY	ENSG00000131002.11	0.010	17.545	-4.199	1.52e-7
ULBP2	ENSG00000131015.4	4.020	0.440	1.802	1.26e-32
SYNE1	ENSG00000131018.22	9.790	25.165	-1.278	1.17e-11
LILRB2	ENSG00000131042.13	0.910	3.685	-1.294	6.21e-20
HIGD1B	ENSG00000131097.6	3.280	0.290	1.730	1.18e-45
GINS2	ENSG00000131153.8	3.390	0.770	1.310	1.09e-30
PRR7	ENSG00000131188.11	6.990	2.960	1.013	2.90e-9
IDO1	ENSG00000131203.12	3.950	0.260	1.974	2.88e-36
TBC1D5	ENSG00000131374.14	5.280	12.705	-1.126	6.35e-15
SLC6A6	ENSG00000131389.16	8.320	27.284	-1.602	1.29e-25
PDLIM4	ENSG00000131435.12	0.830	4.055	-1.466	2.52e-17
TOP2A	ENSG00000131747.14	7.550	1.155	1.988	1.19e-22
FMO5	ENSG00000131781.12	1.460	5.665	-1.438	2.23e-18
RAI2	ENSG00000131831.17	3.940	10.455	-1.213	8.29e-12
LLGL1	ENSG00000131899.10	6.550	15.540	-1.131	1.19e-19
SPATA6	ENSG00000132122.11	2.150	6.510	-1.253	1.79e-29
TRIM22	ENSG00000132274.15	3.770	14.470	-1.697	6.01e-22
PTCD3	ENSG00000132300.18	14.470	41.815	-1.469	4.19e-30
RAMP1	ENSG00000132329.10	1.350	6.265	-1.628	3.96e-13
PTPRE	ENSG00000132334.16	5.480	14.285	-1.238	1.02e-14
SERPINF1	ENSG00000132386.10	17.840	55.197	-1.577	5.11e-14
PNISR	ENSG00000132424.14	22.830	89.619	-1.927	3.31e-44
XAF1	ENSG00000132530.16	5.200	18.210	-1.631	9.09e-22
MATN2	ENSG00000132561.13	5.910	20.955	-1.668	2.08e-16
SNAP25	ENSG00000132639.12	7.200	3.030	1.025	2.48e-4
KIAA0907	ENSG00000132680.10	10.370	28.204	-1.361	3.64e-34
SYT11	ENSG00000132718.8	0.780	2.975	-1.159	1.15e-12
LPIN3	ENSG00000132793.11	4.240	9.645	-1.023	1.57e-9
FBXO44	ENSG00000132879.13	11.910	27.795	-1.157	5.79e-18
PIK3C2B	ENSG00000133056.13	1.070	3.180	-1.014	1.83e-28
EPSTI1	ENSG00000133106.14	2.550	7.690	-1.291	1.32e-13
STARD13	ENSG00000133121.20	3.380	8.505	-1.118	1.47e-25
TBC1D8B	ENSG00000133138.19	4.320	11.375	-1.218	2.96e-14
SRRM1	ENSG00000133226.16	18.830	44.870	-1.210	2.08e-30
RARRES3	ENSG00000133321.10	5.240	15.185	-1.375	8.01e-9
MYH11	ENSG00000133392.16	0.840	9.595	-2.526	4.61e-29
GSTT2B	ENSG00000133433.10	11.590	46.819	-1.925	6.61e-7
GIMAP6	ENSG00000133561.15	2.190	6.040	-1.142	1.76e-20
ZNF767P	ENSG00000133624.13	3.080	8.375	-1.200	1.23e-36
LYVE1	ENSG00000133800.8	18.080	64.415	-1.778	2.01e-10
MICAL2	ENSG00000133816.13	1.780	7.320	-1.581	8.63e-28
ZFC3H1	ENSG00000133858.15	8.700	20.265	-1.132	6.80e-26
MRPS36	ENSG00000134056.11	56.948	21.455	1.368	9.56e-32
MEIS2	ENSG00000134138.19	8.460	30.615	-1.741	2.08e-29
PRPF38B	ENSG00000134186.11	9.800	24.345	-1.231	1.53e-33
GSTM5	ENSG00000134201.10	0.280	3.435	-1.793	1.82e-39
TRIM45	ENSG00000134253.9	2.190	5.550	-1.038	2.56e-21
SLC38A2	ENSG00000134294.13	38.891	82.753	-1.070	9.21e-13
SAA2	ENSG00000134339.8	0.030	6.728	-2.908	7.04e-28
KIAA1468	ENSG00000134444.13	5.880	14.215	-1.145	1.70e-29
RBM17	ENSG00000134453.15	26.521	62.100	-1.197	1.60e-18
RERG	ENSG00000134533.6	10.400	27.700	-1.332	3.14e-9
YARS	ENSG00000134684.10	33.861	73.366	-1.093	7.97e-20
HOOK1	ENSG00000134709.10	1.390	4.190	-1.119	1.73e-24
SLC43A3	ENSG00000134802.17	4.680	16.660	-1.637	6.84e-17
PDGFRA	ENSG00000134853.11	1.010	15.855	-3.068	2.41e-47
SLC37A2	ENSG00000134955.11	2.830	57.023	-3.921	1.03e-50
GOLM1	ENSG00000135052.16	46.951	121.523	-1.353	2.87e-16
FAM189A2	ENSG00000135063.17	1.500	6.955	-1.670	1.37e-25
HAVCR2	ENSG00000135077.8	1.720	4.515	-1.020	1.09e-10
RNFT2	ENSG00000135119.14	6.410	1.950	1.329	1.49e-26
MDFIC	ENSG00000135272.9	5.230	14.605	-1.325	3.70e-19
ITGA7	ENSG00000135424.15	5.300	16.884	-1.505	4.59e-13
RDH5	ENSG00000135437.9	1.700	5.320	-1.227	7.39e-21
TROAP	ENSG00000135451.12	6.360	1.100	1.809	4.94e-19
FAIM2	ENSG00000135472.8	0.600	3.355	-1.445	1.04e-6
PAN2	ENSG00000135473.14	23.470	59.395	-1.303	7.35e-23
SLC26A10	ENSG00000135502.16	0.490	3.100	-1.460	3.72e-24
MAP7	ENSG00000135525.18	1.680	4.620	-1.068	1.40e-23
MICAL1	ENSG00000135596.17	2.680	9.925	-1.570	9.14e-29
STX11	ENSG00000135604.9	0.520	3.595	-1.596	1.73e-28
KCNMB4	ENSG00000135643.4	1.800	5.340	-1.179	4.33e-5
MDM2	ENSG00000135679.21	65.739	30.550	1.081	7.42e-15
FBXL8	ENSG00000135722.8	4.600	19.835	-1.896	4.22e-38
KCNK1	ENSG00000135750.14	6.480	1.705	1.467	5.17e-14
GLUL	ENSG00000135821.16	35.270	148.930	-2.047	8.79e-24
HTR2B	ENSG00000135914.5	0.890	11.084	-2.677	8.90e-20
SERPINE2	ENSG00000135919.12	22.880	9.360	1.205	7.25e-8
TMBIM1	ENSG00000135926.12	42.620	107.224	-1.311	5.10e-22
VILL	ENSG00000136059.14	0.530	4.125	-1.744	2.98e-37
VPS36	ENSG00000136100.12	5.700	13.445	-1.108	1.79e-23
TBC1D4	ENSG00000136111.12	12.870	55.960	-2.038	1.84e-29
RCBTB1	ENSG00000136144.11	7.230	20.830	-1.407	1.79e-21
PHF11	ENSG00000136147.16	17.370	50.086	-1.476	1.11e-38
TNS3	ENSG00000136205.16	7.550	27.554	-1.740	7.48e-22
TTYH3	ENSG00000136295.14	8.030	23.470	-1.438	9.85e-25
IREB2	ENSG00000136381.12	8.810	21.986	-1.228	8.08e-21
RSAD1	ENSG00000136444.9	16.570	42.010	-1.292	2.08e-28
MYCBPAP	ENSG00000136449.13	0.120	1.690	-1.264	6.48e-31
VEZF1	ENSG00000136451.8	10.170	25.814	-1.263	2.58e-23
SCN7A	ENSG00000136546.13	0.000	1.480	-1.310	1.34e-37
IL10	ENSG00000136634.5	0.160	1.335	-1.009	1.59e-19
HS6ST1	ENSG00000136720.6	20.659	47.570	-1.165	1.74e-14
GYPC	ENSG00000136732.14	19.880	60.454	-1.557	9.02e-18
TMOD1	ENSG00000136842.13	14.290	43.599	-1.544	4.17e-18
TLR4	ENSG00000136869.13	1.040	5.800	-1.737	7.49e-39
FPGS	ENSG00000136877.14	29.970	62.062	-1.026	3.02e-17
GARNL3	ENSG00000136895.18	3.820	13.045	-1.543	7.68e-31
TSTD2	ENSG00000136925.14	3.310	9.850	-1.332	2.93e-30
MYC	ENSG00000136997.14	8.050	29.635	-1.759	7.61e-21
NOV	ENSG00000136999.4	37.569	362.101	-3.235	2.79e-16
IL33	ENSG00000137033.11	1.860	9.045	-1.812	2.44e-36
KIF13A	ENSG00000137177.18	5.530	18.170	-1.554	2.01e-26
IER3	ENSG00000137331.11	5.620	26.895	-2.075	7.60e-22
TLR2	ENSG00000137462.6	1.930	5.459	-1.140	1.38e-18
MYO7A	ENSG00000137474.19	5.420	40.555	-2.694	3.29e-53
SLCO2B1	ENSG00000137491.14	3.140	34.064	-3.082	2.82e-43
IL18BP	ENSG00000137496.17	5.030	13.255	-1.241	3.45e-20
RAB30	ENSG00000137502.9	3.180	7.580	-1.037	2.10e-13
LRRC32	ENSG00000137507.11	14.730	36.625	-1.258	1.17e-19
GGH	ENSG00000137563.11	22.860	5.695	1.833	7.84e-37
YAP1	ENSG00000137693.13	8.900	24.425	-1.361	1.16e-19
RDX	ENSG00000137710.14	47.629	172.714	-1.837	6.88e-21
PPP2R1B	ENSG00000137713.15	4.070	10.330	-1.160	3.32e-20
FXYD6	ENSG00000137726.15	20.440	52.517	-1.320	1.53e-6
SQRDL	ENSG00000137767.13	5.940	20.245	-1.614	2.11e-20
THBS1	ENSG00000137801.10	3.250	43.388	-3.385	4.43e-43
MAPKBP1	ENSG00000137802.13	3.950	14.395	-1.637	2.04e-47
ITGA11	ENSG00000137809.16	0.590	2.960	-1.316	1.34e-19
PARP6	ENSG00000137817.16	22.751	52.211	-1.164	1.55e-17
PAQR5	ENSG00000137819.13	3.520	13.350	-1.667	2.47e-17
PLCB2	ENSG00000137841.11	1.790	12.050	-2.226	3.88e-33
PAK6	ENSG00000137843.11	0.360	1.935	-1.110	1.37e-14
GCOM1	ENSG00000137878.16	0.210	3.050	-1.743	1.84e-25
GIPC2	ENSG00000137960.5	0.870	13.985	-3.002	8.49e-31
KHK	ENSG00000138030.12	2.990	8.289	-1.219	4.95e-10
TRIM54	ENSG00000138100.13	0.090	8.790	-3.167	3.39e-36
MYOF	ENSG00000138119.16	6.910	15.240	-1.038	8.99e-9
LOXL4	ENSG00000138131.3	0.230	1.680	-1.124	2.04e-5
KIF11	ENSG00000138160.5	2.730	0.660	1.168	9.04e-24
RBP4	ENSG00000138207.12	0.390	7.435	-2.601	3.84e-13
IDH1	ENSG00000138413.13	90.490	225.720	-1.309	9.22e-12
SLC40A1	ENSG00000138449.10	19.200	319.206	-3.987	2.07e-19
PARP9	ENSG00000138496.16	10.970	24.600	-1.097	6.34e-16
SHF	ENSG00000138606.19	1.180	8.805	-2.169	5.40e-26
SEMA7A	ENSG00000138623.9	10.180	2.350	1.739	7.04e-16
FAM13A	ENSG00000138640.14	5.340	14.115	-1.253	8.74e-18
PCDH10	ENSG00000138650.8	0.010	1.390	-1.243	5.63e-33
KIAA1109	ENSG00000138688.15	8.190	21.910	-1.318	7.81e-25
PDE5A	ENSG00000138735.15	1.560	4.780	-1.175	2.13e-14
PRDM5	ENSG00000138738.10	1.260	3.705	-1.058	4.48e-18
SLC39A8	ENSG00000138821.12	7.130	2.460	1.232	9.04e-24
MAPK8IP3	ENSG00000138834.12	20.031	48.650	-1.239	1.13e-21
RGS3	ENSG00000138835.22	59.540	27.495	1.087	7.65e-21
PARVG	ENSG00000138964.16	1.740	9.315	-1.912	7.10e-32
YARS2	ENSG00000139131.12	20.490	9.465	1.038	3.85e-30
VAMP1	ENSG00000139190.16	2.860	12.295	-1.784	8.26e-37
LUM	ENSG00000139329.4	13.790	249.950	-4.085	6.52e-33
SNRPF	ENSG00000139343.10	37.190	17.200	1.069	6.79e-28
GAS2L3	ENSG00000139354.10	3.330	0.720	1.332	1.44e-30
FAM222A	ENSG00000139438.5	33.430	10.244	1.614	8.32e-14
MTMR6	ENSG00000139505.11	4.820	12.555	-1.220	2.47e-26
N4BP2L1	ENSG00000139597.16	2.150	7.725	-1.470	1.31e-28
SMARCC2	ENSG00000139613.11	16.381	39.156	-1.208	1.23e-18
MAP3K12	ENSG00000139625.12	8.040	19.540	-1.184	5.56e-16
WDFY2	ENSG00000139668.8	3.660	9.985	-1.237	4.84e-35
LPAR6	ENSG00000139679.15	5.820	16.350	-1.347	6.04e-23
SLAIN1	ENSG00000139737.21	3.260	7.580	-1.010	7.61e-12
RBM26	ENSG00000139746.15	9.000	20.345	-1.094	3.17e-32
MBNL2	ENSG00000139793.18	15.300	33.560	-1.084	1.92e-16
GRTP1	ENSG00000139835.13	5.610	14.125	-1.194	2.61e-15
TSSK4	ENSG00000139908.14	0.290	1.905	-1.171	4.78e-39
FRMD6	ENSG00000139926.15	1.710	6.810	-1.527	4.06e-23
RDH12	ENSG00000139988.9	0.650	2.405	-1.045	1.37e-8
ESR2	ENSG00000140009.18	0.990	5.340	-1.672	1.29e-32
FBLN5	ENSG00000140092.14	9.140	49.256	-2.309	7.78e-30
SLC12A6	ENSG00000140199.11	2.210	5.435	-1.003	5.64e-18
SORD	ENSG00000140263.13	6.860	25.789	-1.769	2.49e-22
SLC27A2	ENSG00000140284.10	0.820	10.598	-2.672	1.01e-12
FGF7	ENSG00000140285.9	0.280	1.885	-1.172	4.37e-20
NEIL1	ENSG00000140398.13	6.560	49.750	-2.747	1.13e-59
MAN2C1	ENSG00000140400.14	55.629	206.958	-1.877	7.17e-34
TPM1	ENSG00000140416.19	41.671	98.557	-1.222	1.34e-20
LMAN1L	ENSG00000140506.16	0.160	1.735	-1.237	2.39e-15
NTRK3	ENSG00000140538.16	0.130	1.485	-1.137	6.74e-37
MCTP2	ENSG00000140563.14	0.360	3.515	-1.731	8.84e-33
IRF8	ENSG00000140968.10	0.650	3.550	-1.463	1.78e-29
KSR1	ENSG00000141068.13	6.570	24.775	-1.768	8.44e-34
RANBP10	ENSG00000141084.10	6.910	20.350	-1.432	9.33e-24
TOM1L1	ENSG00000141198.13	7.280	15.890	-1.028	3.42e-14
SGSM2	ENSG00000141258.12	10.620	41.040	-1.855	8.90e-40
NPEPPS	ENSG00000141279.15	22.099	73.886	-1.697	5.24e-32
SKAP1	ENSG00000141293.15	0.770	6.944	-2.166	4.82e-10
SS18	ENSG00000141380.13	18.860	51.504	-1.403	4.85e-33
SLMO1	ENSG00000141391.13	0.650	2.420	-1.052	5.58e-26
IMPA2	ENSG00000141401.11	5.130	14.860	-1.371	6.98e-15
GAREM	ENSG00000141441.15	1.630	4.475	-1.058	2.99e-20
GATA6	ENSG00000141448.8	19.100	41.818	-1.091	2.35e-20
NPC1	ENSG00000141458.12	27.319	57.308	-1.042	5.99e-12
SLC13A5	ENSG00000141485.15	0.150	1.634	-1.196	6.62e-5
MINK1	ENSG00000141503.15	20.710	43.635	-1.040	2.39e-21
PIK3R5	ENSG00000141506.13	0.820	5.560	-1.850	2.10e-42
TMC6	ENSG00000141524.15	2.730	9.715	-1.522	3.38e-28
SMAD4	ENSG00000141646.13	7.060	20.980	-1.447	2.95e-23
PMAIP1	ENSG00000141682.11	1.830	0.185	1.256	1.60e-21
ERBB2	ENSG00000141736.13	1.990	5.105	-1.030	1.56e-13
PNMT	ENSG00000141744.3	0.030	1.539	-1.302	7.92e-13
IGFBP4	ENSG00000141753.6	31.710	192.771	-2.567	1.44e-25
SLC39A3	ENSG00000141873.10	49.511	23.280	1.057	6.93e-19
VAV1	ENSG00000141968.7	0.770	2.755	-1.085	3.67e-11
MYO1F	ENSG00000142347.16	1.700	7.220	-1.606	1.20e-27
SLC47A1	ENSG00000142494.13	32.210	87.429	-1.413	1.88e-11
SIGLEC10	ENSG00000142512.14	0.810	9.025	-2.469	1.45e-36
FAM71E1	ENSG00000142530.10	3.500	0.955	1.203	2.01e-29
RCN3	ENSG00000142552.7	10.100	24.735	-1.213	1.65e-17
SLC2A5	ENSG00000142583.17	0.370	2.595	-1.392	8.15e-10
RERE	ENSG00000142599.17	11.960	41.276	-1.706	1.82e-31
EPHA2	ENSG00000142627.12	1.470	6.235	-1.551	4.55e-28
EVA1B	ENSG00000142694.6	8.690	22.810	-1.297	1.36e-11
FCN3	ENSG00000142748.12	7.540	23.840	-1.540	8.76e-9
NBPF3	ENSG00000142794.18	1.710	4.725	-1.079	1.60e-22
TINAGL1	ENSG00000142910.15	10.330	36.063	-1.710	5.90e-25
TMEM61	ENSG00000143001.4	1.330	4.830	-1.323	8.07e-21
SYPL2	ENSG00000143028.8	2.780	10.415	-1.594	3.11e-35
SLC44A3	ENSG00000143036.16	1.700	7.410	-1.639	9.80e-22
PROK1	ENSG00000143125.5	0.120	4.855	-2.386	8.10e-9
ITGA10	ENSG00000143127.12	0.310	1.655	-1.019	3.70e-17
FCGR2A	ENSG00000143226.13	5.320	17.745	-1.568	5.32e-19
NUF2	ENSG00000143228.12	2.510	0.585	1.147	1.01e-19
RORC	ENSG00000143365.16	0.090	1.745	-1.332	5.61e-4
RFX5	ENSG00000143390.17	9.180	27.030	-1.461	6.01e-20
SELENBP1	ENSG00000143416.20	1.730	20.430	-2.973	1.97e-33
POGZ	ENSG00000143442.21	11.190	31.240	-1.403	1.20e-27
S100A8	ENSG00000143546.9	2.480	35.493	-3.390	1.96e-31
INTS3	ENSG00000143624.13	18.301	48.910	-1.371	2.29e-26
SCCPDH	ENSG00000143653.9	15.500	42.608	-1.402	9.36e-24
SOX13	ENSG00000143842.14	4.480	15.870	-1.622	7.30e-35
ETNK2	ENSG00000143845.14	18.390	4.365	1.854	4.06e-17
PLEKHA6	ENSG00000143850.12	0.180	1.990	-1.341	5.55e-13
PTPN7	ENSG00000143851.15	1.130	7.579	-2.010	2.71e-4
OSR1	ENSG00000143867.6	0.230	1.565	-1.060	2.55e-15
GALM	ENSG00000143891.16	25.329	79.453	-1.611	2.08e-15
REG3G	ENSG00000143954.12	0.060	23.373	-4.523	7.05e-25
MEIS1	ENSG00000143995.19	21.989	68.460	-1.595	4.47e-19
RABL2A	ENSG00000144134.18	3.450	9.525	-1.242	3.90e-31
FAM171B	ENSG00000144369.12	1.190	3.650	-1.086	1.86e-16
RBMS3	ENSG00000144642.20	1.230	4.935	-1.412	2.56e-40
FAM198A	ENSG00000144649.8	0.490	2.180	-1.094	2.25e-20
NFKBIZ	ENSG00000144802.11	0.670	5.670	-1.998	7.41e-36
IGSF11	ENSG00000144847.12	0.600	6.580	-2.244	2.58e-32
TMEM108	ENSG00000144868.13	3.280	9.895	-1.348	3.94e-14
LPP	ENSG00000145012.12	2.870	7.605	-1.153	1.88e-28
TCTA	ENSG00000145022.4	17.321	43.460	-1.279	1.01e-24
NICN1	ENSG00000145029.11	4.320	15.340	-1.619	3.38e-28
SLIT2	ENSG00000145147.19	2.020	11.070	-1.999	6.48e-19
VWA5B2	ENSG00000145198.14	25.120	63.619	-1.307	1.98e-7
SLC26A1	ENSG00000145217.13	1.050	5.790	-1.728	7.31e-36
OCIAD2	ENSG00000145247.11	56.211	27.469	1.007	1.45e-16
USP53	ENSG00000145390.11	2.390	9.310	-1.605	5.64e-25
SFRP2	ENSG00000145423.4	0.260	2.315	-1.396	1.12e-3
NKD2	ENSG00000145506.13	0.290	6.780	-2.592	7.26e-57
MYO10	ENSG00000145555.14	6.690	1.900	1.407	4.36e-15
RPL37	ENSG00000145592.13	1958.046	903.167	1.115	1.06e-15
OSMR	ENSG00000145623.12	7.980	22.735	-1.402	3.17e-20
SSBP2	ENSG00000145687.15	22.899	10.090	1.108	6.95e-12
IQGAP2	ENSG00000145703.15	38.481	14.498	1.349	3.25e-11
KLHL3	ENSG00000146021.14	2.380	6.360	-1.123	4.39e-21
HIGD2A	ENSG00000146066.2	303.467	136.163	1.150	3.47e-28
FGD2	ENSG00000146192.14	0.760	9.105	-2.521	4.92e-51
SCUBE3	ENSG00000146197.8	0.060	1.550	-1.266	9.83e-33
RARS2	ENSG00000146282.17	15.920	35.215	-1.098	2.48e-15
RNF217	ENSG00000146373.16	0.790	4.115	-1.515	1.20e-46
RSPO3	ENSG00000146374.13	0.040	8.240	-3.151	3.19e-41
IGFBP3	ENSG00000146674.14	66.948	4.915	3.522	1.71e-49
ZC3HAV1L	ENSG00000146858.7	0.260	1.705	-1.102	3.11e-29
SYTL5	ENSG00000147041.11	0.360	6.025	-2.369	8.18e-31
SLC16A2	ENSG00000147100.9	8.910	30.599	-1.673	4.05e-21
OGT	ENSG00000147162.13	17.629	55.790	-1.608	6.97e-32
ZNF711	ENSG00000147180.16	3.600	10.000	-1.258	4.34e-9
NXF3	ENSG00000147206.16	0.070	1.850	-1.413	1.37e-46
GPC3	ENSG00000147257.13	2.480	8.515	-1.451	3.36e-14
FATE1	ENSG00000147378.11	2.550	0.150	1.626	6.12e-19
ZNF185	ENSG00000147394.18	1.140	4.545	-1.374	3.21e-7
HMBOX1	ENSG00000147421.17	14.570	31.545	-1.064	1.92e-21
STAR	ENSG00000147465.11	1785.855	4102.961	-1.200	2.45e-7
LACTB2	ENSG00000147592.8	17.510	36.990	-1.037	2.06e-7
SYBU	ENSG00000147642.16	9.670	33.069	-1.675	4.79e-16
NAPRT	ENSG00000147813.15	16.829	44.289	-1.345	1.07e-6
PLIN2	ENSG00000147872.9	15.290	100.468	-2.639	1.40e-29
IDNK	ENSG00000148057.15	3.730	11.175	-1.364	8.17e-17
SHC3	ENSG00000148082.9	1.470	6.440	-1.591	2.29e-50
SH3GLB2	ENSG00000148341.17	34.270	91.420	-1.390	6.25e-24
FAM171A1	ENSG00000148468.16	9.890	3.605	1.242	2.12e-17
SERPING1	ENSG00000149131.15	20.330	126.040	-2.574	2.23e-29
TTC12	ENSG00000149292.16	3.400	8.760	-1.149	1.72e-21
NCAM1	ENSG00000149294.16	19.849	41.196	-1.017	5.87e-8
ST14	ENSG00000149418.10	0.800	3.155	-1.207	4.06e-14
TKFC	ENSG00000149476.14	41.801	218.978	-2.362	1.34e-31
TMEM138	ENSG00000149483.11	58.740	132.449	-1.160	2.85e-15
ROM1	ENSG00000149489.8	2.160	6.545	-1.256	1.71e-21
PLCH2	ENSG00000149527.17	0.270	1.860	-1.171	1.58e-10
FEZ1	ENSG00000149557.12	17.470	5.465	1.514	1.84e-11
SIDT2	ENSG00000149577.15	13.290	29.381	-1.088	2.18e-20
TMEM25	ENSG00000149582.15	10.030	26.414	-1.313	1.28e-16
TAGLN	ENSG00000149591.16	58.221	365.644	-2.630	1.06e-31
PLCB3	ENSG00000149782.11	7.210	17.255	-1.153	9.77e-23
PCDH15	ENSG00000150275.17	0.060	3.010	-1.920	1.91e-52
GPM6A	ENSG00000150625.16	0.130	2.100	-1.456	5.86e-38
IL18	ENSG00000150782.11	1.840	5.725	-1.244	6.94e-7
UBC	ENSG00000150991.14	1224.518	579.433	1.078	2.33e-10
THRB	ENSG00000151090.17	0.940	3.580	-1.239	3.77e-28
KCTD14	ENSG00000151364.15	5.990	19.929	-1.582	9.84e-20
THRSP	ENSG00000151365.2	0.180	1.430	-1.042	1.60e-14
ME3	ENSG00000151376.16	9.930	23.880	-1.187	1.86e-25
NEK7	ENSG00000151414.14	12.940	34.854	-1.363	2.43e-19
FRMD4A	ENSG00000151474.19	2.040	6.880	-1.374	1.04e-22
EPS8	ENSG00000151491.12	4.170	11.389	-1.261	1.56e-14
VENTX	ENSG00000151650.7	0.130	1.675	-1.243	6.07e-32
PTPN14	ENSG00000152104.11	2.170	6.950	-1.326	2.25e-35
HSPB8	ENSG00000152137.6	84.788	8.614	3.158	5.32e-18
TMEM178A	ENSG00000152154.10	1.290	4.425	-1.244	1.16e-21
ZFP36L2	ENSG00000152518.6	19.220	58.871	-1.566	1.55e-21
PLEKHH2	ENSG00000152527.13	0.910	3.210	-1.140	1.57e-23
IGSF10	ENSG00000152580.8	0.090	4.615	-2.365	2.56e-23
GJA1	ENSG00000152661.7	82.412	244.704	-1.559	6.69e-16
ZNF117	ENSG00000152926.14	5.230	21.565	-1.857	1.07e-27
RAB3C	ENSG00000152932.7	2.910	0.935	1.015	1.80e-6
SREK1IP1	ENSG00000153006.14	13.860	5.205	1.260	1.46e-31
MERTK	ENSG00000153208.16	17.930	40.279	-1.125	3.45e-10
NR4A2	ENSG00000153234.13	0.980	4.704	-1.527	9.27e-12
SLC25A27	ENSG00000153291.15	6.030	19.780	-1.564	8.40e-31
UBP1	ENSG00000153560.11	10.220	23.564	-1.130	9.59e-24
PID1	ENSG00000153823.18	3.650	22.670	-2.348	4.20e-34
KCTD15	ENSG00000153885.14	1.330	4.635	-1.274	4.03e-21
MCOLN2	ENSG00000153898.12	1.450	11.659	-2.369	1.06e-31
LGI4	ENSG00000153902.13	0.300	2.000	-1.206	5.55e-18
ROBO3	ENSG00000154134.14	2.240	16.349	-2.421	4.85e-33
PRKCA	ENSG00000154229.11	6.470	17.745	-1.327	1.94e-12
LRRK1	ENSG00000154237.12	0.540	2.450	-1.164	8.97e-39
UCHL1	ENSG00000154277.12	6.540	40.308	-2.454	7.30e-12
PGM5	ENSG00000154330.12	16.140	51.355	-1.611	3.93e-13
SORBS2	ENSG00000154556.17	27.660	189.282	-2.731	4.44e-27
NCAM2	ENSG00000154654.14	0.850	4.840	-1.658	1.15e-16
L3MBTL4	ENSG00000154655.14	0.750	3.660	-1.413	2.52e-54
JAM2	ENSG00000154721.14	4.170	15.055	-1.635	5.47e-9
FLCN	ENSG00000154803.12	11.410	23.985	-1.009	8.80e-14
PPP4R1	ENSG00000154845.15	9.080	20.870	-1.117	2.95e-19
MARVELD1	ENSG00000155254.12	2.070	7.370	-1.447	5.69e-13
GRAMD3	ENSG00000155324.9	2.620	10.560	-1.675	2.30e-25
VSIG4	ENSG00000155659.14	6.040	55.589	-3.007	7.67e-26
SLA	ENSG00000155926.13	1.250	7.735	-1.957	2.18e-31
PSD3	ENSG00000156011.16	6.020	13.040	-1.000	7.76e-13
GNA14	ENSG00000156049.6	0.280	1.635	-1.042	1.17e-23
TSPAN7	ENSG00000156298.12	126.956	59.104	1.090	2.73e-7
MAPK13	ENSG00000156711.16	14.560	51.766	-1.762	4.26e-25
RBPMS	ENSG00000157110.15	36.801	92.770	-1.311	3.98e-18
TIMP4	ENSG00000157150.4	0.450	5.530	-2.171	8.40e-29
RP11-66N24.4	ENSG00000157306.14	1.070	4.795	-1.485	1.99e-51
IL34	ENSG00000157368.10	3.950	14.955	-1.689	5.15e-7
KIT	ENSG00000157404.15	1.510	0.240	1.017	1.13e-21
MUM1L1	ENSG00000157502.12	0.020	2.590	-1.815	5.81e-23
PSMG3	ENSG00000157778.8	48.020	21.690	1.111	8.74e-24
FMNL2	ENSG00000157827.19	6.540	20.359	-1.502	7.76e-28
TNFRSF14	ENSG00000157873.17	29.410	98.499	-1.710	6.16e-22
SKI	ENSG00000157933.9	5.160	11.705	-1.044	2.71e-20
KRTCAP3	ENSG00000157992.12	0.730	3.375	-1.339	6.82e-23
HPD	ENSG00000158104.11	0.140	4.755	-2.336	4.49e-21
MRAS	ENSG00000158186.12	18.780	54.894	-1.499	4.37e-22
RNF207	ENSG00000158286.12	1.320	9.485	-2.176	4.65e-45
TMSB15B	ENSG00000158427.14	3.390	0.550	1.502	2.47e-26
PPP1R9A	ENSG00000158528.11	1.760	5.750	-1.290	9.17e-19
GDPD5	ENSG00000158555.14	2.030	6.785	-1.361	2.80e-18
SLAMF8	ENSG00000158714.10	0.940	3.390	-1.178	7.00e-12
SLC45A3	ENSG00000158715.5	0.890	4.980	-1.662	5.31e-38
NBL1	ENSG00000158747.13	5.960	13.545	-1.063	9.98e-6
NIT1	ENSG00000158793.13	35.250	81.410	-1.185	2.65e-15
ZNF276	ENSG00000158805.11	9.260	20.085	-1.039	1.42e-25
NPM2	ENSG00000158806.13	0.790	18.940	-3.478	1.97e-45
FGF17	ENSG00000158815.10	0.110	3.315	-1.959	1.05e-57
FAM160B2	ENSG00000158863.21	21.630	45.509	-1.039	1.23e-22
